RefNo,IncidentType,DateOfIncident 
1,Loss of Equipment,2017-04-20
2,Loss of Equipment,2017-05-03
3,Information Breach,2017-05-10
4,Loss of Equipment,2017-07-03
5,Information Breach,2018-07-04
6,Information Breach,2017-08-18
7,Information Breach,2017-07-25
8,Information Breach,2017-09-08
9,Information Breach,2017-09-15
10,Loss of Equipment,2017-10-19
11,Information Breach,2017-11-02
12,Information Breach,2017-11-22
13,Loss of Equipment,2017-09-01
14,Loss of Equipment,2018-01-10
15,Loss of Equipment,2018-01-16
16,Information Breach,2018-01-18
17,Information Breach,2018-02-22
18,Compliance,2018-03-19
19,Information Breach,2018-03-26
20,Information Breach,2018-03-27
21,Information Breach,2018-03-07
